33,"EUROPA A","Portugal","ACTIVO","Primeira Liga portuguesa","https://betplay.com.co/apuestas#sports-hub/football/portugal/primeira_liga","https://www.betsson.co/apuestas-deportivas/futbol/portugal/portugal-primeira-liga?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-pt-sb_type_19211/matches","https://stake.com.co/es/deportes/football/portugal/primeira-liga","https://apuestas.wplay.co/es/t/19211/Portugal-Primeira-Liga","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/portugal-37/primeira-liga-102851","https://www.betano.co/sport/futbol/portugal/primeira-liga/17083/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/portugal/primeira_liga","Portugal","Primeira Liga","https://www.zamba.co/deportes/f%C3%BAtbol/portugal/liga-portugal/matches/60444.1","https://sports.yajuego.co/competition/soccer/portugal/primeiraliga/1-361-101247","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:238","https://www.luckia.co/apuestas/futbol/portugal-primeira-liga/50466/?date=sve","https://bingocasinos.co/es/football/primeiraaliga-354-13"	
34,"EUROPA A","BÃ©lgica","ACTIVO","Jupiter League","https://betplay.com.co/apuestas#sports-hub/football/belgium/jupiler_pro_league","https://www.betsson.co/apuestas-deportivas/futbol/belgica/belgica-jupiler-league?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-be-sb_type_19372/matches","https://stake.com.co/es/deportes/football/belgium/jupiler-league","https://apuestas.wplay.co/es/t/19372/B%C3%A9lgica-1ra-Divisi%C3%B3n-A","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/b%C3%A9lgica-35/jupiler-pro-league-0:12","https://www.betano.co/sport/futbol/belgica/1a-pro-league/16849/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/belgium/jupiler_pro_league","BÃ©lgica","Jupiler Pro League","https://www.zamba.co/deportes/f%C3%BAtbol/b%C3%A9lgica/liga-pro/matches/60356.1","https://sports.yajuego.co/competition/soccer/belgium/proleague/1-82-101225","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:38","https://www.luckia.co/apuestas/futbol/belgica-pro-league/50458/?date=sve","https://bingocasinos.co/es/football/jupileraleague-459-13"	
35,"EUROPA A","Republica Checa","","Primera A Checa","https://betplay.com.co/apuestas#sports-hub/football/czech_republic/first_league","https://www.betsson.co/apuestas-deportivas/futbol/republica-checa/republica-checa-liga-1?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-cz-sb_type_19403/matches","https://stake.com.co/es/deportes/football/czech-republic/1-liga","https://apuestas.wplay.co/es/t/19403/Rep%C3%BAblica-Checa-First-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/rep%C3%BAblica-checa-12/1%C2%AA-liga-101587","https://www.betano.co/sport/futbol/republica-checa/1-liga/16952/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/czech_republic/first_league","RepÃºblica Checa","","","","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:172","","https://bingocasinos.co/es/football/czechafirstaleague-4-13"	
36,"EUROPA A","Grecia","ACTIVO","Super League Greca","https://betplay.com.co/apuestas#sports-hub/football/greece/super_league","https://www.betsson.co/apuestas-deportivas/futbol/grecia/grecia-super-liga-1?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-gr-sb_type_19209/matches","https://stake.com.co/es/deportes/football/greece/super-league","https://apuestas.wplay.co/es/t/19209/Grecia-Super-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/grecia-18/super-league-102844","https://www.betano.co/sport/futbol/grecia/super-league-1/1636/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/greece/super_league","Grecia","Grecia Super League","https://www.zamba.co/deportes/f%C3%BAtbol/grecia/superliga/matches/60428.1","https://sports.yajuego.co/competition/soccer/greece/superleague/1-79-101273","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:185","https://www.luckia.co/apuestas/futbol/grecia-super-league/3043/?date=sve","https://bingocasinos.co/es/football/superaleague-770-13"	
37,"EUROPA A","Noruega","","Eliteserien Noruega","https://betplay.com.co/apuestas#sports-hub/football/norway/eliteserien","https://www.betsson.co/apuestas-deportivas/futbol/noruega/tippeligaen-noruega?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-no-sb_type_19472/matches","https://stake.com.co/es/deportes/football/norway/eliteserien","","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/noruega-21/eliteserien-102275","","https://www.rushbet.co/?page=sportsbook#filter/football/norway/eliteserien","","","","","","",""	
38,"EUROPA A","Polonia","","Ekstraklasa polaca","https://betplay.com.co/apuestas#sports-hub/football/poland/ekstraklasa","https://www.betsson.co/apuestas-deportivas/futbol/polonia/polonia-ekstraklasa?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-pl-sb_type_19336/matches","https://stake.com.co/es/deportes/football/poland/ekstraklasa","https://apuestas.wplay.co/es/t/19336/Polonia-Ekstraklasa","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/polonia-22/liga-ekstraklasa-2063","","https://www.rushbet.co/?page=sportsbook#filter/football/poland/ekstraklasa","Polonia","","","","","",""	
39,"EUROPA A","Dinamarca","ACTIVO","Superligaen Danesa","https://betplay.com.co/apuestas#sports-hub/football/denmark/superligaen","https://www.betsson.co/apuestas-deportivas/futbol/dinamarca/superliga?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-dk-sb_type_19299/matches","https://stake.com.co/es/deportes/football/denmark/superliga","","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/dinamarca-13/superligaen-102837","https://www.betano.co/sport/futbol/dinamarca/superligaen/16955/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/denmark/superligaen","Dinamarca","Superliga Dinamarca","","https://sports.yajuego.co/competition/soccer/denmark/superligaen/1-70-101229","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:39","","https://bingocasinos.co/es/football/superligaen-25-13"	
40,"EUROPA A","Austria","","Bundesliga Austriaca","https://betplay.com.co/apuestas#sports-hub/football/austria/bundesliga","https://www.betsson.co/apuestas-deportivas/futbol/austria/austria-bundesliga?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-at-sb_type_19347","https://stake.com.co/es/deportes/football/austria/bundesliga","https://apuestas.wplay.co/es/t/19347/Austria-Bundesliga","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/austria-8/bundesliga-102835","https://www.betano.co/sport/futbol/austria/bundesliga/16823/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/austria/bundesliga","Austria","Bundesliga Austria","","https://sports.yajuego.co/competition/soccer/austria/bundesliga/1-104-101235","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:45","","https://bingocasinos.co/es/football/bundesliga-21-13"	
41,"EUROPA B","Suiza","ACTIVO","Super League Suiza","https://betplay.com.co/apuestas#sports-hub/football/switzerland/super_league","https://www.betsson.co/apuestas-deportivas/futbol/suiza/suiza-super-liga?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-ch-sb_type_19305/matches","https://stake.com.co/es/deportes/football/switzerland/super-league","https://apuestas.wplay.co/es/t/19305/Suiza-Super-Liga","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/suiza-30/superliga-102378","https://www.betano.co/sport/futbol/suiza/superliga/17122/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/switzerland/super_league","Suiza","Superliga Suiza","https://www.zamba.co/deportes/f%C3%BAtbol/suiza/superliga/matches/60385.1","https://sports.yajuego.co/competition/soccer/switzerland/superleague/1-369-101311","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:215","","https://bingocasinos.co/es/football/superaleague-111-13"	
42,"EUROPA B","Chipre","ACTIVO","Primera A Chipre","https://betplay.com.co/apuestas#sports-hub/football/cyprus/1st_division","https://www.betsson.co/apuestas-deportivas/futbol/cyprus/chipre-1a-division?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-cy-sb_type_19331","https://stake.com.co/es/deportes/football/cyprus/first-division","https://apuestas.wplay.co/es/t/19331/Chipre-Division-1","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/chipre-58/primera-divisi%C3%B3n-101413","https://www.betano.co/sport/futbol/chipre/division-1/16947/?bt=matchresult","","Chipre","Chipre 1.Division","https://www.zamba.co/deportes/f%C3%BAtbol/chipre/1%C2%AA-divisi%C3%B3n/matches/60501.1","https://sports.yajuego.co/competition/soccer/cyprus/1stdivision/1-327-101289","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:171","https://www.luckia.co/apuestas/futbol/chipre-1-division/50531/?date=sve","https://bingocasinos.co/es/football/divisiona1-708-13"	
43,"EUROPA B","Escocia","ACTIVO","Premiership Scottish","https://betplay.com.co/apuestas#sports-hub/football/scotland/scottish_premiership","https://www.betsson.co/apuestas-deportivas/futbol/escocia/premier-league-escocesa?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-sco-sb_type_19208/matches","https://stake.com.co/es/deportes/football/scotland/premiership","https://apuestas.wplay.co/es/t/19208/Escocia-Premiership","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/escocia-26/premiership-102853","https://www.betano.co/sport/futbol/escocia/premiership/1647/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/scotland/scottish_premiership","Escocia","Premiership Escocia","https://www.zamba.co/deportes/f%C3%BAtbol/escocia/premiership/matches/60351.1","https://sports.yajuego.co/competition/soccer/scotland/premiership/1-73-101249","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:36","https://www.luckia.co/apuestas/futbol/escocia-premiership/3038/?date=sve","https://bingocasinos.co/es/football/scotlandapremiership-249-13"	
44,"EUROPA B","Suecia","","Allsvenskan Sueca","https://betplay.com.co/apuestas#sports-hub/football/sweden/allsvenskan","https://www.betsson.co/apuestas-deportivas/futbol/suecia/suecia-allsvenskan?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-se-sb_type_19308/matches","https://stake.com.co/es/deportes/football/sweden/allsvenskan","https://apuestas.wplay.co/es/t/19308/Suecia-Allsvenskan","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/suecia-29/allsvenskan-102831","","https://www.rushbet.co/?page=sportsbook#filter/football/sweden/allsvenskan","Suecia","","","","","",""	
45,"EUROPA B","Rumania","ACTIVO","Liga 1 Rumania","https://betplay.com.co/apuestas#sports-hub/football/romania/liga_i","https://www.betsson.co/apuestas-deportivas/futbol/rumania/rumania-liga-i?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-ro-sb_type_46019/matches","https://stake.com.co/es/deportes/football/romania/liga-i","https://apuestas.wplay.co/es/t/46019/Ruman%C3%ADa-Liga-1","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/ruman%C3%ADa-24/superliga-2064","https://www.betano.co/sport/futbol/rumania/liga-1/17088/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/romania/liga_i","RumanÃ­a","Liga 1 RumanÃ­a","","https://sports.yajuego.co/competition/soccer/romania/superliga/1-9-101282","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:152","https://www.luckia.co/apuestas/futbol/rumania-superliga/51208/?date=sve","https://bingocasinos.co/es/football/ligaa1-282-13"	
46,"EUROPA B","Croacia","ACTIVO","HNL Croacia","https://betplay.com.co/apuestas#sports-hub/football/croatia/1__hnl_league","https://www.betsson.co/apuestas-deportivas/futbol/croacia/croacia-hnl?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-hr-sb_type_19390/matches","https://stake.com.co/es/deportes/football/croatia/hnl","https://apuestas.wplay.co/es/t/19390/Croatia-HNL","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/croacia-50/hnl-102164","https://www.betano.co/sport/futbol/croacia/hnl/16941/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/croatia/1__hnl_league","Croacia","","","https://sports.yajuego.co/competition/soccer/croatia/1.hnl/1-326-101244","","https://www.luckia.co/apuestas/futbol/croacia-hnl/51017/?date=sve","https://bingocasinos.co/es/football/hnl-333-13"	
47,"EUROPA B","HungrÃ­a","ACTIVO","NB-1 Hungara","https://betplay.com.co/apuestas#sports-hub/football/hungary/nb_1","https://www.betsson.co/apuestas-deportivas/futbol/hungaro/hungria-nb-i?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-hu-sb_type_19316/matches","https://stake.com.co/es/deportes/football/hungary/nb-i","https://apuestas.wplay.co/es/t/19316/Hungr%C3%ADa-NB1","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/hungr%C3%ADa-19/nb-i-101529","https://www.betano.co/sport/futbol/hungria/nb-i/17024/?bt=matchresult","","","","","https://sports.yajuego.co/competition/soccer/hungary/nbi/1-340-101246","","","https://bingocasinos.co/es/football/otpabankaliga-93-13"	
48,"EUROPA B","Eslovenia","","PRVA Liga Eslovenia","https://betplay.com.co/apuestas#sports-hub/football/slovenia/prva_liga","https://www.betsson.co/apuestas-deportivas/futbol/eslovenia/eslovenia-1-snl?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-si-sb_type_19384/matches","https://stake.com.co/es/deportes/football/slovenia/prva-liga","https://apuestas.wplay.co/es/t/19384/Eslovenia-Prva-Liga","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/eslovenia-27/1-snl-102216","","","","","","","","",""	
49,"EUROPA B","Ucrania","","Premier League Ucrania","https://betplay.com.co/apuestas#sports-hub/football/ukraine/premier_league","https://www.betsson.co/apuestas-deportivas/futbol/ukraine/ucrania-liga-premier?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-ua-sb_type_19383/matches","https://stake.com.co/es/deportes/football/ukraine/premier-league","https://apuestas.wplay.co/es/t/19383/Ucrania-Premier-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/ucrania-53/liga-premier-102227","","","","","","","","","https://bingocasinos.co/es/football/premieraleaguea421-421-13"	
50,"EUROPA B","Bulgaria","","Primera A Bulgara","https://betplay.com.co/apuestas#sports-hub/football/bulgaria/pfl_1","https://www.betsson.co/apuestas-deportivas/futbol/bulgaria/bulgaria-liga-1?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-bg-sb_type_19391/matches","https://stake.com.co/es/deportes/football/bulgaria/1st-league","https://apuestas.wplay.co/es/t/19391/Bulgaria-First-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/bulgaria-63/first-professional-league-2062","https://www.betano.co/sport/futbol/bulgaria/parva-liga/16918/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/bulgaria/pfl_1","Bulgaria","","","https://sports.yajuego.co/competition/soccer/bulgaria/firstprofessionalleague/1-218-101204","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:247","","https://bingocasinos.co/es/football/parvaafirstaleague-192-13"	
51,"EUROPA B","Irlanda","","Premier Division Irlanda","https://betplay.com.co/apuestas#sports-hub/football/ireland/premier_division","https://www.betsson.co/apuestas-deportivas/futbol/irlanda/airtricity-premier?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-ie-sb_type_19427/matches","https://stake.com.co/es/deportes/football/ireland/premier","https://apuestas.wplay.co/es/t/19427/Premier-Division","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/rep-irlanda-23/primera-divisi%C3%B3n-102208","","","Irlanda","","","","","","https://bingocasinos.co/es/football/loiapremieradivision-152-13"	
52,"EUROPA B","Islandia","","Urvalsdeild Islandia","https://betplay.com.co/apuestas#sports-hub/football/iceland/urvalsdeild","https://www.betsson.co/apuestas-deportivas/futbol/islandia/islandia-lengjudeild?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-is-sb_type_19940/matches","https://stake.com.co/es/deportes/football/iceland/premier-league","https://apuestas.wplay.co/es/t/19940/Islandia-Liga-Premier","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/islandia-49/urvalsdeild-102195","","","","","","","","",""	
53,"EUROPA B","Letonia","","Virsliga Letona","https://betplay.com.co/apuestas#sports-hub/football/latvia/virsliga","https://www.betsson.co/apuestas-deportivas/futbol/letonia/letonia-liga-1?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-lv-sb_type_19492/matches","https://stake.com.co/es/deportes/football/latvia/virsliga","https://apuestas.wplay.co/es/t/19492/Letonia-Virsliga","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/letonia-145/virsliga-102245","","","","","","","","",""	
54,"EUROPA B","Finlandia","","Veikkausliiga Finlandia","https://betplay.com.co/apuestas#sports-hub/football/finland/veikkausliiga","https://www.betsson.co/apuestas-deportivas/futbol/finlandia/primera-division-finlandesa?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-fi-sb_type_19314/matches","https://stake.com.co/es/deportes/football/finland/veikkausliiga","https://apuestas.wplay.co/es/t/19314/Finlandia-Veikkausliiga","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/finlandia-15/veikkausliiga-101886","","","","","","","","",""	
55,"EUROPA B","Estonia","","Esiliiga Estonia","https://betplay.com.co/apuestas#sports-hub/football/estonia/esiliiga","https://www.betsson.co/apuestas-deportivas/futbol/estonia/estonia-esiliiga-a?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-ee-sb_type_19844/matches","https://stake.com.co/es/deportes/football/estonia/esiliiga","https://apuestas.wplay.co/es/t/19844/Estonia-Esiliiga","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/estonia-61/esiliiga-a-102338","","","","","","","","",""	
56,"EUROPA B","Gales","ACTIVO","Cymru Premier Gales","https://betplay.com.co/apuestas#sports-hub/football/wales/premier_league","https://www.betsson.co/apuestas-deportivas/futbol/gales/premier-league-galesa?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-wf-sb_type_19881/matches","https://stake.com.co/es/deportes/football/wales/premier-league","https://apuestas.wplay.co/es/t/19881/Gales-Premier-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/gales-64/premier-league-101411","https://www.betano.co/sport/futbol/gales/cymru-premier/17403/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/wales/premier_league","Gales","Premier League de Gales","https://www.zamba.co/deportes/f%C3%BAtbol/gales/cymru-premier/matches/60416.1","https://sports.yajuego.co/competition/soccer/wales/premierleague/1-377-101643","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:254","",""	
57,"INTERCLUBES","CONMEBOL","ACTIVO","Copa Libertadores","https://betplay.com.co/apuestas#sports-hub/football/copa_libertadores","https://www.betsson.co/apuestas-deportivas/futbol/copa-libertadores/copa-libertadores?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-int11-sb_type_19462/matches","https://stake.com.co/es/deportes/copa_libertadores","https://apuestas.wplay.co/es/t/19462/Copa-Libertadores","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/sudam%C3%A9rica-42/conmebol-libertadores-0:15","https://www.betano.co/sport/futbol/campeonatos/copa-libertadores/189817/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/copa_libertadores","Clubes Internacional","Copa Libertadores","","https://sports.yajuego.co/popularCoupons/0/copalibertadores/341","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:384","https://www.luckia.co/apuestas/futbol/copa-libertadores-2026-ganador/527976/?date=sve","https://bingocasinos.co/es/football/conmebolacopaalibertadores-7-13"	
58,"INTERCLUBES","CONMEBOL","ACTIVO","Copa Sudamericana","https://betplay.com.co/apuestas#sports-hub/football/copa_sudamericana","https://www.betsson.co/apuestas-deportivas/futbol/copa-sudamericana/copa-sudamericana?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-int11-sb_type_19348/matches","https://stake.com.co/es/deportes/Copa_Sudamericana","https://apuestas.wplay.co/es/t/19348/Copa-Sudamericana","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/sudam%C3%A9rica-42/conmebol-sudamericana-0:16","https://www.betano.co/sport/futbol/campeonatos/copa-sudamericana/189818/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/copa_sudamericana","Clubes Internacional","Copa Sudamericana","https://www.zamba.co/deportes/futbol/international-clubs/conmebol-sudamericana","https://sports.yajuego.co/popularCoupons/0/copasudamericana/721","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:480","","https://bingocasinos.co/es/football/copaasudamericana-7-13"	
59,"INTERCLUBES","UEFA","ACTIVO","Champions League UEFA","https://betplay.com.co/apuestas#sports-hub/football/champions_league","https://www.betsson.co/apuestas-deportivas/futbol/champions-league/uefa-champions-league?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-europe-sb_type_19161/matches","https://stake.com.co/es/deportes/uefa_champions","https://apuestas.wplay.co/es/t/19161/UEFA-Champions-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/europa-7/uefa-champions-league-102855","https://www.betano.co/sport/futbol/campeonatos/champions-league/188566/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/champions_league","Clubes Internacional","UEFA Champions League","https://www.zamba.co/deportes/futbol/international-clubs/liga-campeones-uefa","https://sports.yajuego.co/popularCoupons/0/uefachampionsleague/589","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:7","https://www.luckia.co/apuestas/futbol/uefa-liga-de-campeones/50889/?date=sve","https://bingocasinos.co/es/football/uefaachampionsaleague-7-13"	
60,"INTERCLUBES","UEFA","ACTIVO","Europa League","https://betplay.com.co/apuestas#sports-hub/football/europa_league","https://www.betsson.co/apuestas-deportivas/futbol/europa-league/uefa-europa-league?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-europe-sb_type_19162/matches","https://stake.com.co/es/deportes/football/europe/uefa-europa-league","https://apuestas.wplay.co/es/t/19162/UEFA-Liga-Europa","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/europa-7/uefa-europa-league-102856","https://www.betano.co/sport/futbol/campeonatos/europa-league/188567/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/europa_league","Clubes Internacional","UEFA Europa League","https://www.zamba.co/deportes/football/international-clubs/liga-europa-de-la-uefa/matches/60330.1","https://sports.yajuego.co/popularCoupons/0/uefaeuropaleague/590","https://www.rivalo.co/es/sportsbook/football?tournament=sr%3Atournament%3A679","https://www.luckia.co/apuestas/futbol/uefa-europa-league/50879/?date=sve","https://bingocasinos.co/es/football/uefaaeuropaaleague-7-13"	
61,"INTERCLUBES","UEFA","","UEFA Conference League","https://betplay.com.co/apuestas#sports-hub/football/conference_league","https://www.betsson.co/apuestas-deportivas/futbol/conference-league/conference-league?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-europe-sb_type_413776/matches","https://stake.com.co/es/deportes/football/europe/uefa-europa-conference-league","","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/europa-7/uefa-conference-league-102919","https://www.betano.co/sport/futbol/campeonatos/conference-league/189602/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/conference_league","Clubes Internacional","","https://www.zamba.co/deportes/f%C3%BAtbol/international-clubs/uefa-europa-conference-league/matches/60354.1","","","",""	
62,"INTERCLUBES","UEFA","ACTIVO","Amistosos Clubes","https://betplay.com.co/apuestas#sports-hub/football/club_friendly_matches","https://www.betsson.co/apuestas-deportivas/futbol/amistosos/amistosos-de-clubes?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-intc-sb_type_20183","https://stake.com.co/es/deportes/football/world/club-friendlies","https://apuestas.wplay.co/es/t/20183/Amistosos-Clubes","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/mundo-6/amistosos-de-clubes-102533","https://www.betano.co/sport/futbol/clubes-internacionales/amistosos-de-clubes/17160/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/club_friendly_matches","Clubes Internacional","Amistosos de Clubes","https://www.zamba.co/deportes/football/international-clubs/amistosos-de-clubes/matches/60302.1","https://sports.yajuego.co/competition/soccer/internationalclubs/clubfriendlygames/1-7-101260","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:853","https://www.luckia.co/apuestas/futbol/amistosos-clubes/3385/?date=sve","https://bingocasinos.co/es/football/clubafriendlies-7-13"	
63,"INTERCLUBES","AFC (ASIA)","","Champions League AFC","https://betplay.com.co/apuestas#sports-hub/football/afc_champions_league","","","","","","","","","","","","","",""	
64,"AMERICA","Estados Unidos","","MLS","https://betplay.com.co/apuestas#sports-hub/football/usa/mls","https://www.betsson.co/apuestas-deportivas/futbol/usa/eeuu-mls?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-us-sb_type_19302/matches","https://stake.com.co/es/deportes/football/usa/mls","https://apuestas.wplay.co/es/t/19302/EE.UU-MLS","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/estados-unidos-39/mls-104417","","","EE.UU.","","","","","",""	
65,"AMERICA","MÃ©xico","ACTIVO","Liga MX","https://betplay.com.co/apuestas#sports-hub/football/mexico/liga_mx","https://www.betsson.co/apuestas-deportivas/futbol/mexico/mexico-liga-mx?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-mx-sb_type_19329/matches","https://stake.com.co/es/deportes/football/mexico/primera","https://apuestas.wplay.co/es/LigaMX","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/m%C3%A9xico-43/liga-mx-apertura-102373","https://www.betano.co/sport/futbol/mexico/liga-mx/17264/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/mexico/liga_mx","MÃ©xico","Liga MX","https://www.zamba.co/deportes/f%C3%BAtbol/m%C3%A9xico/liga-mx,-clausura/matches/63012.1","https://sports.yajuego.co/competition/soccer/mexico/primeradivision/1-353-101390","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:27466","https://www.luckia.co/apuestas/futbol/liga-mx/55473/?date=sve","https://bingocasinos.co/es/football/liga+bbva+bancomer"	
